,Unnamed: 0,argument,sa_argument,hypothesis,is_fallacy
2933,2933,"As a species we are good hunters, not only as a result of our superb reasoning skills, but because of possession of many biological adaptations which are specific to carnivorous animals.","As a species MSK<0> are good hunters , not only as a result of MSK<0> superb reasoning skills , but because of possession of many biological adaptations which are specific to carnivorous animals . ",This argument is fallacious.,0.0
528,528,"\#6\] ""Therefore, God exists","\ # 6 \ ] "" Therefore , God exists ",This argument is fallacious.,0.0
2746,2746,"Palestinians want, first and foremost, a state of their own as Palestinian Arab people. In 1988 their parliament thus adopted a declaration of independence Ever since, November 15 is celebrated as Independence Day in Palestine.","MSK<0> want , first and foremost , a state of MSK<0> own as MSK<2> Arab people . In 1988 MSK<0> parliament thus adopted a declaration of MSK<1> Ever since , November 15 is celebrated as MSK<1> Day in MSK<2> . ",This argument is fallacious.,0.0
2101,2101,Anarchism is better for the poor.,Anarchism is better for the poor . ,This argument is fallacious.,0.0
2573,2573,Creation does not explain many effects that are well explained by evolution.,Creation does not MSK<0> many effects that are well MSK<0> by evolution . ,This argument is fallacious.,0.0
3753,686,"An evidence based approach to policy would require us to know all the potential benefits and costs of every policy beforehand, and to be able to quantity those costs and benefits. Humans can not know all things, and exactly what to do with such knowledge","An evidence based approach to MSK<0> would require us to MSK<1> all the potential MSK<2> and MSK<3> of every MSK<0> beforehand , and to be able to quantity those MSK<3> and MSK<2> . Humans can not MSK<1> all things , and exactly what to do with such knowledge ",This argument is fallacious.,1.0
2944,2944,"Many farm animals don't have their own native, wild habitat, and removing them from their farm habitat, by releasing them into the wild would very likely result in severe environmental, and ecological disruption. Many of these livestock would likely fail to survive in the wild, and others would likely displace existing species of plants and animals.","MSK<0> don't have MSK<0> own native , MSK<1> MSK<2> , and removing MSK<0> from MSK<0> farm MSK<2> , by releasing MSK<0> into the MSK<1> would very MSK<3> result in severe MSK<4> , and MSK<4> disruption . Many of these livestock would MSK<3> fail to survive in the MSK<1> , and others would MSK<3> displace existing species of plants and animals . ",This argument is fallacious.,0.0
3501,434,"There is no consensus on what constitutes political correctness. Therefore, any speech could be considered potentially unacceptable.","There is no consensus on what constitutes political correctness . Therefore , any speech could be considered potentially unacceptable . ",This argument is fallacious.,1.0
712,712,Royals are changing their behaviour to match the changes among their people and using their platform for good.,MSK<0> are MSK<1> MSK<0> behaviour to match the MSK<1> among MSK<0> and using MSK<0> platform for good . ,This argument is fallacious.,0.0
2529,2529,"A lot of animals are born and given a chance to live because of the meat industry. They also get all the food and water they want for them to be healthy. They might die sooner than normal, but at least it's a quick death and they get to live the best part of their lives.","A lot of animals are born and given a chance to MSK<0> because of the meat industry . MSK<1> also get all MSK<2> and water MSK<1> want for MSK<1> to be healthy . MSK<1> might MSK<3> sooner than normal , but at least MSK<2> 's a quick MSK<3> and MSK<1> get to MSK<0> the best part of MSK<1> lives . ",This argument is fallacious.,0.0
526,526,"\#3\] ""A being that exists as an idea in the mind and in reality is other things being equal, greater than a being that exists only as an idea in the mind.""","\ # 3 \ ] "" A being that MSK<0> as MSK<1> is other things being equal , greater than a being MSK<1> MSK<0> only as an idea in the mind . "" ",This argument is fallacious.,0.0
3911,844,Armed teachers would be a new threat: they could be the ones who initiate a shooting.,MSK<0> would be a new threat : MSK<0> could be the ones who initiate a shooting . ,This argument is fallacious.,1.0
2525,2525,It is natural for humans to eat meat.,It is natural for humans to eat meat . ,This argument is fallacious.,0.0
688,688,Cuomo may have received large sums of money in exchange for implementing a provision that limited hospital liability for deaths related to covid.,Cuomo may have received large sums of money in exchange for implementing a provision that limited hospital liability for deaths related to covid . ,This argument is fallacious.,0.0
1652,1652,"There is paleontogical evidence that God exists. Phyla appear in large numbers out of nowhere and decrease in numbers as time goes by. While there are a small number of historical periods when phyla emerged, there are no fossils that support the alternative evolutionary hypothesis of gradual change.","There is paleontogical evidence that God exists . MSK<0> appear in large MSK<1> out of nowhere and decrease in MSK<1> as time goes by . While there are a small MSK<1> of historical periods when MSK<0> emerged , there are no fossils that support the alternative evolutionary hypothesis of gradual change . ",This argument is fallacious.,0.0
226,226,A society with no gender stereotypes but one that allows sex discrimination \(i.e. the ability to tell apart sexes\) when necessary--such as in medicinal and sporting contexts--would be better.,A society with no gender stereotypes but one that allows MSK<0> discrimination \ ( i.e. the ability to tell apart MSK<0> \ ) when necessary MSK<1> such as in medicinal and sporting contexts MSK<1> would be better . ,This argument is fallacious.,0.0
1513,1513,"Yet an online presence also allows white supremacists to organise and carry out such acts. It is better to prevent them from ever happening, rather than to allow them to happen and hope that counterterrorism agencies will catch them in time.","Yet an online presence also MSK<0> MSK<1> to organise and carry out such acts . It is better to prevent MSK<1> from ever MSK<2> , rather than to MSK<0> MSK<1> to MSK<2> and hope that counterterrorism agencies will catch MSK<1> in time . ",This argument is fallacious.,0.0
502,502,"If society were to totally ignore race and ethnicity, important uniqueness and valuable history would be more easily forgotten.","If society were to totally ignore race and ethnicity , important uniqueness and valuable history would be more easily forgotten . ",This argument is fallacious.,0.0
2055,2055,"In a mature, modern democracy contentious referendums will be close calls by their nature. Clear consensus will be acted on before reaching this stage or referendums will be called merely to 'rubber stamp' a consensus. There is too much risk of social media and TV being used to weight an argument to an outcome favourable to status quo over change if contentious referendums are repeated.","In a mature , MSK<0> will be close calls by MSK<0> nature . Clear MSK<1> will be acted on before reaching this stage or MSK<2> will be called merely to ' rubber stamp ' a MSK<1> . There is too much risk of social media and TV being used to weight an argument to an outcome favourable to status quo over change if contentious MSK<2> are repeated . ",This argument is fallacious.,0.0
1275,1275,"Trump has previously banned certain media outlets who have broken major stories on the Russia investigation, such as the NYT, Politico, and BuzzFeed, from attending White House Press briefings.","Trump has previously banned certain media outlets who have broken major stories on the Russia investigation , such as the NYT , Politico , and BuzzFeed , from attending White House Press briefings . ",This argument is fallacious.,0.0
3117,50,"That's a matter of perspective. The United States is the only western country that does not have universal health care. In most European countries the state sees health care as a human right, not a business.","That 's a matter of perspective . The United MSK<3> is the only western MSK<0> that does not have universal MSK<2> . In most European MSK<0> the MSK<3> sees MSK<2> as a human right , not a business . ",This argument is fallacious.,1.0
3823,756,Affirmative action in college admissions normalizes affirmative action in the workplace.,MSK<1> in college admissions normalizes MSK<1> in the workplace . ,This argument is fallacious.,1.0
836,836,"""Virgin"" makes more sense because a virgin conceiving would be noteworthy enough to mention, but merely a ""young woman"" conceiving would not.",""" MSK<0> "" makes more sense because a MSK<0> MSK<1> would be noteworthy enough to mention , but merely a "" young woman "" MSK<1> would not . ",This argument is fallacious.,0.0
1950,1950,Political correctness leads to a backlash by authoritarians.,Political correctness leads to a backlash by authoritarians . ,This argument is fallacious.,0.0
1494,1494,Genetic modified foods are less taxing for the environment than food produced through traditional means.,Genetic modified MSK<0> are less taxing for the environment than MSK<0> produced through traditional means . ,This argument is fallacious.,0.0
3874,807,"P1. While everything in the universe has a cause, this is not true of the universe itself.","P1 . While everything in MSK<0> has a cause , this is not true of MSK<0> . ",This argument is fallacious.,1.0
182,182,"If presented as entertainment content with no scientific validity in its predictions, this argument might be relevant. However, in its widest practice, Astrology is depicted as providing accurate information on character, behavior and future events, which misleads its consumers into believing it is something more than pure fiction.","If presented as entertainment content with no scientific validity in MSK<0> predictions , MSK<0> might be relevant . However , in MSK<0> widest practice , Astrology is depicted as providing accurate information on character , behavior and future events , which misleads MSK<0> consumers into believing MSK<0> is something more than pure fiction . ",This argument is fallacious.,0.0
2670,2670,Evil is all about perception. Change your point of view and you'll change your idea of evil too.,MSK<0> is all about perception . MSK<1> MSK<2> point of view and MSK<2> 'll MSK<1> MSK<2> idea of MSK<0> too . ,This argument is fallacious.,0.0
418,418,"Countries can't deplete all of their financial, social or physical resources to helping others.","MSK<0> can't deplete all of MSK<0> financial , social or physical resources to helping others . ",This argument is fallacious.,0.0
3839,772,There is no way of measuring and weighing 'performance' precisely enough.,There is no way of measuring and weighing ' performance ' precisely enough . ,This argument is fallacious.,1.0
2770,2770,Following John Locke the social contract stipulates that people respect and obey the government in exchange for safety and prosperity. The Second Amendment undermines this social contract as it makes America unsafe.,Following John Locke MSK<0> stipulates that people respect and obey the government in exchange for MSK<2> and prosperity . MSK<1> undermines MSK<0> as MSK<1> makes America MSK<2> . ,This argument is fallacious.,0.0
2703,2703,"Germanys Pirate Party has shown that with liquid democracy, voting is much more concentrated than with other forms of democracy. Out of 80,000 citizens in Friesland, only 583 \(0,7%\) registered for their platform at all. Only 382 out of these 583 registered users voted on liquid democracy decisions, and twelve users dominated each of the 76 initiatives.","Germanys Pirate Party has shown that with MSK<0> MSK<1> , MSK<5> is much more concentrated than with other forms of MSK<1> . Out of 80,000 citizens in Friesland , only MSK<2> \ ( 0,7 % \ ) MSK<3> for their platform at all . Only 382 out of these MSK<2> MSK<3> MSK<4> MSK<5> on MSK<0> MSK<1> decisions , and twelve MSK<4> dominated each of the 76 initiatives . ",This argument is fallacious.,0.0
1242,1242,Science does not rely on faith in the same way religion does.,Science does not rely on faith in the same way religion does . ,This argument is fallacious.,0.0
1931,1931,Political correctness is a barrier to social change.,Political correctness is a barrier to social change . ,This argument is fallacious.,0.0
3254,187,"A significant number of alleged discrepancies in the Bible are actually presuppositional discrepancies, or discrepancies which only exist due to the presuppositions of the reader. These discrepancies vanish if one has complete faith in the truth of the Bible.","A significant number of MSK<0> are actually MSK<2> MSK<1> , or MSK<1> which only exist due to the MSK<2> of the reader . MSK<0> vanish if one has complete faith in the truth of coref1 . ",This argument is fallacious.,1.0
2519,2519,"If Christianity is true, then humanity has been greatly affected by their broken, sinful nature. Thus, on this worldview, we would expect to find people believing in all sorts of different deities because of their rebellion against their creator.","If Christianity is true , then humanity has been greatly affected by their broken , sinful nature . Thus , on this worldview , we would expect to find MSK<0> because of MSK<0> rebellion against MSK<0> creator . ",This argument is fallacious.,0.0
229,229,Creating new genders where appropriate would be better.,Creating new genders where appropriate would be better . ,This argument is fallacious.,0.0
3742,675,"Infanticide is also naturally occuring. As is cannibalism and coprophagia \(eating fecal matter\). The ""argument"" of things being natural equating to justified morality is a fallacy.","Infanticide is also naturally occuring . As is cannibalism and coprophagia \ ( eating fecal matter \ ) . The "" argument "" of things being natural equating to justified morality is a fallacy . ",This argument is fallacious.,1.0
22,22,Legalization will actually provide a legal and regulated alternative to the sector of that industry that promotes all those negative outcomes.,Legalization will actually provide a legal and regulated alternative to the sector of that industry that promotes all those negative outcomes . ,This argument is fallacious.,0.0
3086,19,Political correctness is a necessary means to combat hate speech.,Political correctness is a necessary means to combat hate speech . ,This argument is fallacious.,1.0
768,768,"The Quran falsely describes the sun as setting and rising in specific locations on the earth that a person can visit in Quran 18:87, 91","The MSK<0> falsely describes the sun as setting and rising in specific locations on the earth that a person can visit in MSK<0> 18:87 , 91 ",This argument is fallacious.,0.0
3157,90,New Atheism is built on weak philosophical foundations.,New Atheism is built on weak philosophical foundations . ,This argument is fallacious.,1.0
308,308,Bernie Sanders is not a Democrat,Bernie Sanders is not a Democrat ,This argument is fallacious.,0.0
1273,1273,"Anyone would be worried about the possible findings of an investigation into their actions, regardless of their innocence.","MSK<0> would be worried about the possible findings of an investigation into MSK<0> actions , regardless of MSK<0> innocence . ",This argument is fallacious.,0.0
302,302,\Many Different Paths\] Different beliefs and purposes have lead individuals to success \(by the standard set by the people of the time\).,\ Many MSK<0> Paths \ ] MSK<0> beliefs and purposes have lead individuals to success \ ( by the standard set by the people of the time \ ) . ,This argument is fallacious.,0.0
276,276,Existing legal frameworks point in the direction of paying reparations.,Existing legal frameworks point in the direction of paying reparations . ,This argument is fallacious.,0.0
2781,2781,Brexit will change the institutional makeup of the European Union.,Brexit will change the institutional makeup of the European Union . ,This argument is fallacious.,0.0
3394,327,Questioning previously held assumptions about artistic quality is the way the arts have always progressed. To place any work beyond the reach of any kind of criticism stifles artistic progress.,Questioning previously held assumptions about MSK<0> quality is the way the MSK<0> have always MSK<1> . To place any work beyond the reach of any kind of criticism stifles MSK<0> MSK<1> . ,This argument is fallacious.,1.0
1923,1923,"Since there are no quantifiable metrics for 'injustice', 'oppression' and 'hate speech', those who fight for PC have no conditions by which they can win, and thus fight battles without end.","Since there are no quantifiable metrics for ' injustice ' , ' oppression ' and ' hate speech ' , MSK<0> have no conditions by which MSK<0> can win , and thus fight battles without end . ",This argument is fallacious.,0.0
2337,2337,La PMA pour toutes n'est un pas en avant vers une société plus égalitaire et plus juste.,La PMA pour toutes n'est un pas en avant vers une société MSK<0> égalitaire et MSK<0> juste . ,This argument is fallacious.,0.0
2161,2161,"Some animals are endangered. These should be valued over humans, who are not endangered.","MSK<0> are MSK<1> . MSK<0> should be valued over humans , who are not MSK<1> . ",This argument is fallacious.,0.0
304,304,"\Unfulfilled LDS prophecies\] Prophecies made by Joseph Smith did not come true, therefore invalidating his status as a prophet","\ Unfulfilled LDS MSK<0> \ ] MSK<0> made by MSK<1> did not come true , therefore invalidating MSK<1> status as a prophet ",This argument is fallacious.,0.0
2594,2594,Violent images are able to create an impact in a way that other features of journalism cannot.,Violent images are able to create an impact in a way that other features of journalism can not . ,This argument is fallacious.,0.0
2205,2205,Capitalism is compatible with human nature.,Capitalism is compatible with human nature . ,This argument is fallacious.,0.0
3851,784,"Unless atheists can give a clear and rational explanation of what would constitute proof then the God of the gaps argument is it's self a logical fallacy because it enables atheists to have no ceiling on their skepticism, meaning what ever evidence is given they claim it to be another gap in our knowledge.","Unless MSK<0> can give a clear and rational explanation of what would constitute proof then the God of the MSK<1> argument is MSK<2> 's self a logical fallacy because MSK<2> enables MSK<3> to have no ceiling on MSK<3> skepticism , meaning what ever evidence is given MSK<3> claim MSK<2> to be another MSK<1> in MSK<0> knowledge . ",This argument is fallacious.,1.0
3093,26,"In relation to God, the parent could actually be the sensus divinitatis functioning properly. If God exists, we would EXPECT Him to place a sense within us that help us naturally believe He exists. Therefore, the parent could be just one example of this sense working \(although not necessarily properly...it may be malfunctioning due to the noetic effects of sin\).","In relation to MSK<0> , MSK<1> could actually be the sensus divinitatis functioning MSK<2> . If MSK<0> MSK<3> , MSK<4> would EXPECT MSK<0> to place a MSK<5> within MSK<4> that help MSK<4> naturally believe MSK<0> MSK<3> . Therefore , MSK<1> could be just one example of this MSK<5> working \ ( although not necessarily MSK<2> ... it may be malfunctioning due to the noetic effects of sin \ ) . ",This argument is fallacious.,1.0
3473,406,"The concept of morality does not apply to nature, so natural evil does not exist.","The concept of morality does not apply to nature , so natural evil does not exist . ",This argument is fallacious.,1.0
1815,1815,The fittest member of a population is more likely to reproduce and pass on it's varying trait.,The fittest member of MSK<0> is more likely to reproduce and pass on MSK<0> 's varying trait . ,This argument is fallacious.,0.0
2472,2472,"Palentologists have documented numerous transitional forms and have constructed ""an astonishingly comprehensive record of the key transitions in animal evolution"". Conducting a survey of the paleontological literature, one would find that there is ""abundant evidence for how all the major groups of animals are related, much of it in the form of excellent transitional fossils","MSK<3> have documented numerous MSK<0> MSK<1> and have constructed "" an astonishingly comprehensive record of the key MSK<0> in MSK<2> evolution "" . Conducting a survey of the MSK<3> literature , one would find that there is "" abundant evidence for how all the major groups of MSK<2> are related , much of it in the MSK<1> of excellent MSK<0> fossils ",This argument is fallacious.,0.0
3547,480,"Criticizing NATO, NATO Allies and thinking of reducing the NATO budget will weaken ties and trust among the organisation, thus weakening the partnership, which could cause problems in the future.","Criticizing NATO , MSK<0> Allies and thinking of reducing the MSK<0> budget will MSK<1> ties and trust among the organisation , thus MSK<1> the partnership , which could cause problems in the future . ",This argument is fallacious.,1.0
1742,1742,Many people have religious experiences involving God.,Many people have religious experiences involving God . ,This argument is fallacious.,0.0
1093,1093,"Homosexuality is not a choice, therefore it cannot be judged in the area of morality.","MSK<0> is not a choice , therefore MSK<0> can not be judged in the area of morality . ",This argument is fallacious.,0.0
1116,1116,"If techno-capitalism provides the impetus to implement an effective universal welfare system, that would help address economic inequality directly.","If techno - MSK<0> provides the impetus to implement an effective universal welfare system , that would help address MSK<0> inequality directly . ",This argument is fallacious.,0.0
2165,2165,Attacks like the Charlie Hebdo shooting demonstrate the violent response that Muslims have to criticism or ridicule of Islam.,Attacks like the Charlie Hebdo shooting demonstrate the violent response that MSK<0> have to criticism or ridicule of MSK<0> . ,This argument is fallacious.,0.0
1069,1069,Trump's aides are rumored to be nervous about Biden receiving the 2020 nomination.,Trump 's aides are rumored to be nervous about Biden receiving the 2020 nomination . ,This argument is fallacious.,0.0
1150,1150,"Activist groups indirectly associate science with politics, regardless of its original purpose \(e.g. march for science\)en.wikipedia.org","Activist groups indirectly associate MSK<0> with politics , regardless of its original purpose \ ( e.g. march for MSK<0> \ ) en.wikipedia.org ",This argument is fallacious.,0.0
867,867,The concept of original sin is immoral. The idea that each person is born with someone else's sin and is damned by default is cruel and unjust.,The concept of original MSK<0> is immoral . The idea that each person is born with someone else 's MSK<0> and is damned by default is cruel and unjust . ,This argument is fallacious.,0.0
485,485,"As the movement of women’s work from the household to the labor market has shown, changing the nature of gender inequality and discrimination is possible. Thus they must be socially constructed.","As the movement of MSK<0> work from the household to the labor market has shown , changing the nature of gender inequality and discrimination is possible . Thus MSK<0> must be socially constructed . ",This argument is fallacious.,0.0
3765,698,"According to the multiverse theory there are many universes, each with different physical constants. And we are logically in a universe that is hospitable to intelligent life.","According to the multiverse theory there are many MSK<0> , each with different physical constants . And we are logically in a MSK<0> that is hospitable to intelligent life . ",This argument is fallacious.,1.0
1944,1944,Political correctness sometimes sidelines the search for the truth.,Political correctness sometimes sidelines the search for the truth . ,This argument is fallacious.,0.0
3740,673,Many other countries in the world have allowed same-sex marriage,Many other countries in the world have allowed same - sex marriage ,This argument is fallacious.,1.0
1713,1713,"The Book of Mormon chronicles the lives of the people and prophets of God who lived in the Americas from approximately 600 BC to AD 400, all of it chiseled by the hands of those who lived it.","MSK<0> chronicles the lives of MSK<1> and prophets of God who lived in the Americas from approximately MSK<2> BC to AD MSK<2> , all of MSK<0> chiseled by the hands of MSK<1> . ",This argument is fallacious.,0.0
924,924,"Measurements of relative practicality should include the costs of dealing with the consequences of bad decisions, like wars, and not just the upfront ease of deciding in the first place.","Measurements of relative practicality should include the costs of dealing with the consequences of bad MSK<0> , like wars , and not just the upfront ease of MSK<0> in the first place . ",This argument is fallacious.,0.0
1119,1119,The emergence of the internet has turned the average citizen into a source of income for many corporations that essentially sell your identity to advertisers. A UBI would be a reasonable and necessary redistributive structure in light of our current economic framework.,The emergence of the internet has turned the average citizen into a source of income for many corporations that essentially sell your identity to advertisers . A UBI would be a reasonable and necessary redistributive structure in light of our current economic framework . ,This argument is fallacious.,0.0
2155,2155,Meritocracy favours Social Darwinism,Meritocracy favours Social Darwinism ,This argument is fallacious.,0.0
3593,526,The usefulness of AGI without rights is irrelevant to whether they should be regarded as having moral standing.,MSK<0> is irrelevant to whether MSK<0> should be regarded as having moral standing . ,This argument is fallacious.,1.0
1127,1127,"Job 38:4-6 describe Earth as resting on a foundation with a cornerstone and supports. This language is repeated elsewhere in the Bible in a contextually matter-of-fact way, as if it's a belief they sincerely held, rather than being presented as poetry or metaphor.","Job 38:4 - 6 describe Earth as resting on a foundation with a cornerstone and supports . MSK<0> is repeated elsewhere in the Bible in a contextually matter - of - fact way , as if MSK<0> 's a belief they sincerely held , rather than being presented as poetry or metaphor . ",This argument is fallacious.,0.0
2926,2926,"Livestock account for an estimated 18% of human-caused greenhouse gas emissions, producing 40% of the world’s methane and 65% of the world’s nitrous oxide.","Livestock account for an estimated 18 % of human - caused greenhouse gas emissions , producing MSK<1> % of MSK<0> methane and MSK<1> % of MSK<0> nitrous oxide . ",This argument is fallacious.,0.0
567,567,The movement of these statues to museums allow historians to contextualize and historicize why these statues exist and who these people were. It will also reduce cost on local government to maintain these statues by moving them to private institutions,MSK<0> allow historians to contextualize and historicize why MSK<1> exist and who these people were . MSK<0> will also reduce cost on local government to maintain MSK<1> by moving MSK<1> to private institutions ,This argument is fallacious.,0.0
2285,2285,The earth could have been created “mature” with the appearance of age.,The earth could have been created “ mature ” with the appearance of age . ,This argument is fallacious.,0.0
2523,2523,"It's not ethically wrong since the definition of ""ethical"" is ""a set of moral values and principles that guide the human conduct in the society"". Knowing that, the larger part of society eats meat and doesn't see any problem in this. Thus we can declare it not ethically wrong.","It 's not MSK<0> MSK<1> since the definition of "" MSK<0> "" is "" a set of moral values and principles that guide the human conduct in the MSK<2> "" . Knowing that , the larger part of MSK<2> eats meat and doesn't see any problem in this . Thus we can declare it not MSK<0> MSK<1> . ",This argument is fallacious.,0.0
326,326,Catholic demonologists affirm the existence of demons.,Catholic MSK<0> affirm the existence of MSK<0> . ,This argument is fallacious.,0.0
2626,2626,Many high level Republicans have dismissed Donald Trump's allegations of voter fraud.,Many high level Republicans have dismissed Donald Trump 's allegations of voter fraud . ,This argument is fallacious.,0.0
840,840,"One might follow any particular religion and achieve the same benefits, given that their teachings point to the same fundamental source, however slight the difference in terminology may be.","One might follow any particular religion and achieve the same benefits , given that their teachings point to the same fundamental source , however slight the difference in terminology may be . ",This argument is fallacious.,0.0
480,480,The perception of gender roles as fixed comes from an erroneous Western ethnocentric vision of society.,The perception of gender roles as fixed comes from an erroneous Western ethnocentric vision of society . ,This argument is fallacious.,0.0
3832,765,The presence of Hell cannot be scientifically proven.,The presence of Hell can not be scientifically proven . ,This argument is fallacious.,1.0
1129,1129,"Proverbs 8:27 describes God defining the shape of the Earth by marking out a circular boundary upon the face of the deep, as with a compass \(KJV, though many other translations use the word ""drew"" or ""inscribed""\)","Proverbs 8:27 describes God defining the shape of the Earth by marking out a circular boundary upon the face of the deep , as with a compass \ ( KJV , though many other translations use the word "" drew "" or "" inscribed "" \ ) ",This argument is fallacious.,0.0
2368,2368,"Time provides an abundant supply of things ""other than what currently *is*""\( i.e. future options and possibilities\). People make ""ought"" statements to try to choose the best of those options based upon their previous experiences and knowledge \(i.e. ""is"" statements\).","Time provides an abundant supply of things "" other than what currently * is * "" \ ( MSK<0> future MSK<1> and possibilities \ ) . MSK<2> make "" ought "" MSK<3> to try to choose the best of those MSK<1> based upon MSK<2> previous experiences and knowledge \ ( MSK<0> "" is "" MSK<3> \ ) . ",This argument is fallacious.,0.0
3189,122,"This is a false dilemma. It argues; if something is possible it must be treated as/assumed to exist. Implying the inverse; if something is not possible, then it can be assumed not to exist. This is a problematic oversimplification ignoring probability. Something may be possible, but so unlikely that it is reasonable to treat it \(assume\) as though it will not occur. It would be impractical/unreasonable to assume it will occur except under exceptional circumstances.","MSK<0> is a false dilemma . MSK<0> argues ; if MSK<1> is MSK<2> MSK<1> must be MSK<3> as / MSK<4> to MSK<5> . Implying the inverse ; if MSK<1> is not MSK<2> , then MSK<1> can be MSK<4> not to MSK<5> . MSK<0> is a problematic oversimplification ignoring probability . MSK<6> may be MSK<2> , but so unlikely that MSK<6> is reasonable to MSK<3> MSK<6> \ ( MSK<4> \ ) as though MSK<6> will not MSK<7> . MSK<6> would be impractical / unreasonable to MSK<4> MSK<6> will MSK<7> except under exceptional circumstances . ",This argument is fallacious.,1.0
124,124,Not listening to people can be good for one's mental health.,Not listening to people can be good for one 's mental health . ,This argument is fallacious.,0.0
1491,1491,"Reducing the freedom of speech of a group of people limits the amount of active and critical thinking about Covid-19, and limitations on perspectives have never been a good thing - they limit us as a society and as the individual.","Reducing the freedom of speech of a group of people MSK<0> the amount of active and critical thinking about Covid - 19 , and MSK<1> have never been a good thing - MSK<1> MSK<0> us as a society and as the individual . ",This argument is fallacious.,0.0
1300,1300,"There is no clear way to measure the merit of a person's contribution. Since doing so is therefore impossible, rewarding people on the basis of that merit should not be a significant goal in society.","There is no clear way to measure MSK<0> . Since doing so is therefore impossible , rewarding people on the basis of MSK<0> should not be a significant goal in society . ",This argument is fallacious.,0.0
346,346,The Book of Mormon uses literary techniques consistent with ancient near eastern writings that were largely unknown to mid-ninteenth century Americans.,The Book of Mormon uses literary techniques consistent with ancient near eastern writings that were largely unknown to mid-ninteenth century Americans . ,This argument is fallacious.,0.0
202,202,"The US Senate Report on ""enhanced interrogation techniques"" \(aka torture\) shows that torture is ""not an effective means of obtaining accurate information or gaining detainee cooperation.""","The US Senate Report on "" enhanced interrogation techniques "" \ ( aka MSK<0> \ ) shows that MSK<0> is "" not an effective means of obtaining accurate information or gaining detainee cooperation . "" ",This argument is fallacious.,0.0
2602,2602,They will be bullied in school for being from a polygamous family.,They will be bullied in school for being from a polygamous family . ,This argument is fallacious.,0.0
3710,643,Some people cannot stop themselves from stealing.,MSK<0> can not stop MSK<0> from stealing . ,This argument is fallacious.,1.0
2821,2821,It can be difficult to determine whose or what tradition\(s\) matter.,It can be difficult to determine whose or what tradition \ ( s \ ) matter . ,This argument is fallacious.,0.0
1999,1999,"God determined morality, otherwise mere self interest would drive human behavior.","God determined morality , otherwise mere self interest would drive human behavior . ",This argument is fallacious.,0.0
3464,397,There is no connection between the financial cost of crime and the punishment that criminals face. There is thus no reason to make the decision whether or not to disenfranchise ex-felons on the basis of considerations of cost.,There is no connection between the financial MSK<0> of MSK<1> and the punishment that MSK<1> face . There is thus no reason to make the decision whether or not to disenfranchise ex-felons on the basis of considerations of MSK<0> . ,This argument is fallacious.,1.0
3213,146,Hindu scripture says that the caste system should be followed.,Hindu scripture says that the caste system should be followed . ,This argument is fallacious.,1.0
3517,450,Society shouldn't be responsible for paying for other individual's poor health or choices.,Society shouldn't be responsible for paying for other individual 's poor health or choices . ,This argument is fallacious.,1.0
2345,2345,"Une personne qui ne peut concevoir d'enfant ""naturellement"" peut se sentir en situation de ""handicap"" par rapport aux autres. Si la science peut changer ça, il n'est pas éthique de refuser ce besoin d’équité. Par exemple quelqu’un qui se trouve laid a le droit de faire de la chirurgie esthétique.","Une personne MSK<0> ne MSK<1> concevoir d'enfant "" naturellement "" MSK<1> MSK<2> sentir en situation MSK<3> "" handicap "" MSK<4> rapport aux autres . Si MSK<5> science MSK<1> changer ça , il n'est pas éthique MSK<3> refuser ce besoin d’équité . MSK<4> exemple quelqu’un MSK<0> MSK<2> trouve laid a le droit MSK<3> faire MSK<3> MSK<5> chirurgie esthétique . ",This argument is fallacious.,0.0
3082,15,"Basham has made false claims about his qualifications and experience before, including falsely claiming to possess a PhD thus is a potentially questionable source.","MSK<0> has made false MSK<1> about MSK<0> qualifications and experience before , including falsely MSK<1> to possess a PhD thus is a potentially questionable source . ",This argument is fallacious.,1.0
2041,2041,"New Atheism has its own myths, just like religion.","MSK<0> has MSK<0> own myths , just like religion . ",This argument is fallacious.,0.0
3359,292,"The Quranic challenge as a whole \(inimitability, preservation, non-contradiction, and unlikely predictions\) is not disputed in any rigorous knowledge discipline. This shows that the Quran is authored by Allah.","The MSK<0> challenge as a whole \ ( inimitability , preservation , non-contradiction , and unlikely predictions \ ) is not disputed in any rigorous knowledge discipline . This shows that the MSK<0> is authored by Allah . ",This argument is fallacious.,1.0
866,866,"The Old Testament does not necessarily represent Christianity. Its prophecies use terms like ""messiah"" and ""saviour."" The New Testament introduces the first use of the title Christ.","MSK<0> does not necessarily represent MSK<1> . MSK<1> prophecies MSK<2> terms like "" messiah "" and "" saviour . "" MSK<0> introduces the first MSK<2> of the title Christ . ",This argument is fallacious.,0.0
3854,787,"To the postmodernist, truth is categorically invalid. This philosophy makes it impossible to establish authoritative laws and principles for a society to run under.","To the postmodernist , truth is categorically invalid . MSK<0> makes MSK<0> impossible to establish authoritative laws and principles for a society to run under . ",This argument is fallacious.,1.0
2340,2340,La PMA pour toutes pose des problèmes moraux.,La PMA pour toutes pose des problèmes moraux . ,This argument is fallacious.,0.0
489,489,Transgender and non-binary individuals are people whose gender identity does not match the one they were assigned at birth based on their biological sex. This shows that gender and biological sex do not necessarily align.,Transgender and non-binary individuals are people whose MSK<0> identity does not match the one MSK<1> were assigned at birth based on MSK<1> MSK<3> . This shows that MSK<0> and MSK<3> do not necessarily align . ,This argument is fallacious.,0.0
