,Label,Argument,Claim,Type of Argument,Type of fallacy,Pros,Cons
1035,"Many Christian or Moslem countries have or had blasphemy laws. According to Wikipedia, blasphemy was an offence in English law that was only removed in 2008.",The opposite of free speech is blasphemy laws which prohibit the expression of dissent from the \(quasi-\)religious doctrines of those in power.,There should be no limits on freedom of speech.,Pro,,],]
1036,The state as the arbiter and owner of Law frequently calls its citizens to violence. The distinction between state sanctioned violence and terrorism is arbitrary.,The law should prohibit speech which incites violence.,There should be no limits on freedom of speech.,Con,,],]
1037,Our general knowledge is the legacy which we rely on and improve upon. There is no point in banning any speech because it is the very goal to speak/communicate and evaluate. Openness to experience is crucial.,"The only way to beat bad, threatening or offensive ideas is to shine the brightest light on them possible and let the world see them for what they are.",There should be no limits on freedom of speech.,Pro,,],]
1038,Speech can inflict emotional harm.,Isolated speech has zero capacity to inflict physical harm.,There should be no limits on freedom of speech.,Pro,,],'As can any subject when anyone relies on the rehtorical construct which is being attacked.']
1039,"In this case, the crime is not a matter of free speech but rather being an accessory to murder. The person has the right to say something like this, but doing it would be illegal.","There is no clear divide between speech and action. Some speech is, in practical terms, an action. 'If you kill my wife I will pay you £10k' is simply a series of vocalised words. Yet it's also the commissioning of a serious crime.",There should be no limits on freedom of speech.,Con,,],"""This argument is analogous to saying that you have the right to steal from someone, but doing so would be illegal. If a certain act of speech is recognised as criminal, then it's not free. This kind of speech is censored under laws regarding murder. Ergo, there is no clear divide between speech and action.""]"
1040,"There are legitimate reasons to keep some information out of the public domain, which means limiting the ability to talk about it.",Limitless freedom of speech is impossible.,There should be no limits on freedom of speech.,Con,,'No limit on speech would mean no protection of state secrets.'],]
1041,"The purpose of freedom of speech is to give these ideologies a platform so they can be torn down with logic. It is how we correct these ideas, take the platform away and they will present themselves through other \(perhaps more dangerous\) means.",Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies.,There should be no limits on freedom of speech.,Con,,],]
1042,"Thought and speech are actions. Thinking is a verb, it is an active behavior. A thought is a result of thinking, the action, in the same way speech is the result of the action of muscle movement.",It is possible to legislate on what people do but not on what they think or say.,There should be no limits on freedom of speech.,Pro,,],]
1043,Promoting an aggressor's freedom of speech over their victim's freedoms is not right.,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal.",There should be no limits on freedom of speech.,Con,,],]
1044,No one has ever actually been hurt by being offended. No one has ever got physically or mentally ill just because someone offended them. All that happens is they feel offended then move on and forget about it after a while.,No one has a right to demand protection against being offended.,There should be no limits on freedom of speech.,Pro,,],"'This statement is demonstrably false and is offered without any evidence. There are myriad example of mental illnesses brought on by repeated exposure to offensive statements. E.g. Depression, body dysmorphia, etc.']"
1045,"If an agency has the goal of protecting people or a social order, then they can have such a power bestowed upon them.","To control what ideas can be expressed publicly is to control social discourse and, to some extent, what people think. No agency should be bestowed such power.",There should be no limits on freedom of speech.,Pro,,],]
1046,"The nature of extremist and fanatic views is that they are not easily changed by civil discourse, because the premises of such discourse are denied in the first place by way of using insults, stating facts without providing evidence, outright denying other positions without crafting a counter-argument, evading questions by acting hurt etc.","Unfortunately, allowing bigots to say whatever they like doesn't mean they can be 'defeated in verbal combat'. Often, the opposite is more the case.",The Nazis' ideas got out in the open where they could be combated. Then they got elected.,Pro,,],"'It is true that it is difficult to change the mind of a fanatic. It is *not*, however, difficult to allow the fanatic to sell the *opposite* point of view to others through the obvious stupidity of this self-same fanatic. The great thing about fanatics is their lack of self-awareness. Put another way, idiotic ideas on clear display, will sell a saner alternative. Stupidity has very few selling points for the average person, same with bigotry.', 'Denying the premises of civil discourse does not create a convincing argument. You might not convince an irrational fanatic, but you will show the weakness of their ideas. Dismissing them fails to show the weakness of their ideas.']"
1047,There have been popular false accusations of PC causing changes.,Populist statements and viewpoints appeal to people's emotions which is in direct conflict with rational thought. You cannot beat fear- or anger-based propaganda with logic.,The Nazis' ideas got out in the open where they could be combated. Then they got elected.,Pro,,],]
1048,Modern western countries have been unsettled due to perceived poor economic conditions and majority reactions to racial and ethnic issues. Ethnocentric politics are increasingly attractive to westerners.,"Comparing Germany, which was in a complete state of disarray after the stock market crash and the effects of the treaty of Versailles, with modern day western countries is a false equivalence.",The Nazis' ideas got out in the open where they could be combated. Then they got elected.,Con,,],]
1049,"The paradox of tolerance expressed by Karl Popper gives an example of how, if a society that is tolerant without limit, its ability to be tolerant is eventually seized or destroyed by the intolerant.",In a defensive democracy members of a democracy believe it is necessary to limit some speech in order to protect and perpetuate a democratic government.,Censorship of some speech is necessary for the free speech of others.,Pro,,],"'He was not, in general, in favor of suppressing intolerant speech, however. Also from Popper: “In this formulation, I do not imply, for instance, that we should always suppress the utterance of intolerant philosophies; as long as we can counter them by rational argument and keep them in check by public opinion, suppression would certainly be unwise.""']"
1050,"We already manage to balance individual freedoms while forbidding words which ""by their very utterance, inflict injury"" or are obscence",The concept of free speech incorporates ideas about when and how speech must be limited,Censorship of some speech is necessary for the free speech of others.,Pro,,],"'Political correctness has no end to its means. If a proponent of PC decides ""obscene"" is a term which might upset someone, conjuring visual images of obscene things, even the parent claim comment supporting PC can be considered politically incorrect.']"
1051,The more emotionally-minded are still capable of logic; just as the more logically-minded are still capable of emotion.,"Stating that women are more acting in the realm of emotions rather than logic, unlike men, discredits the ideas of women in a one-on-one debate. Using PC language means not discrediting the other person for what they are but listening to what they say. This improves discourse.",Political correctness enables free speech for those that would be attacked personally otherwise.,Pro,,],]
1052,"This is not a common mindset. This is called being a racist, and voicing opinions like this will get you stigmatized and scorned.",A mindset that Black people are inferior will discredit ideas by African Americans.,Political correctness enables free speech for those that would be attacked personally otherwise.,Pro,,],"""While it may be scorned, it doesn't follow that it isn't a common mindset."", 'Being stigmatized and scorned for unacceptable opinions is the whole point of political correctness']"
1053,Political correctness blocks majority groups from reaching their potential in or even having discussions to the same effect that avoiding political correctness has on minority groups within discussions.,"Oppressed groups have enough difficulties just to discuss difficult topics, and anything \(such as not being politically correct\), could hinder opportunities and chances for these discussions to reach their potential or happen at all. Political correctness creates opportunity that would not occur otherwise.",Political correctness enables free speech for those that would be attacked personally otherwise.,Pro,,],]
1054,"It is claimed that people want Santa to be female or gender neutral, when in fact a tabloid asked people a barely related question and interpreted so they could lie about people wanting a female or gender neutral Santa.","In recent years, there are often false or exaggerated claims of something PC attacking holidays.","Many people know what political correctness is, it's just that anti-PC groups lie about what political correctness is to deceive people who don't check for themselves into believing a fallacy.",Pro,,],]
1055,In psychology it has been found that the best way to cope with fear is to be exposed to it It does far more damage to be controlled by fear than to be forced to confront that fear. Otherwise we would never heal from trauma.,"Victims of any emotionally scarring experience, such as rape, molestation, etc, need defense against purposeful emotional abuse.",Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies.,Pro,,],]
1056,There are clear differences between harmful ideas and beneficial ideas which can help differentiate the speech - mainly whether that speech results in people being harmed.,While freedom of speech can be used to spread harmful ideas it can also be used to spread beneficial ideas as well. Words will always have power and to limit the use of them will limit the ideas that might be able to change the world.,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies.,Con,,],]
1057,"Many countries have instituted working definitions of hate speech What qualifies as ""hate speech"" differs depending on the agreed definition of the society in context.",There is no objective way to identify hate speech.,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies.,Con,,'The European Commission launched in 2016 the Code of Conduct a guideline to efficiently respond to the proliferation of racist and xenophobic hate speech online.'],]
1058,"Wealthy people often work harder, smarter \(with more skills or competency\), or place themselves in positions or industries that provide needed services.","Sanders is wrong to say that we should improve society by removing devils, like evil capitalists and elites, from places of power.","It is not helpful for Sanders to hate wealthy people who have worked hard, are smart, followed the rules, or made good life choices.",Pro,,'A study of wealthy people show theat they typically spend more time working and reading compared to the average American.'],]
1059,It is never good to be ruled by emotion like hate.,"It is good to hate people who are wealthy, smart, ""hard-working"" rule-followers who ""make good life choices"" when those people are exploiting others.","It is not helpful for Sanders to hate wealthy people who have worked hard, are smart, followed the rules, or made good life choices.",Con,,'The only valid reason to make a decision is if reason shows that the benefits likely outweigh the costs or risks.'],]
1060,People shouldn't be forced out to act outside the interest of their family and friends. You have no claim to the fruit of other people's labor.,The choices they made were for their own interests.,"It is not helpful for Sanders to hate wealthy people who have worked hard, are smart, followed the rules, or made good life choices.",Con,,],]
1061,"Only 2% of those living in poverty in American finished high school, got a full-time job and waited until age 21 to get married or have children.brookings.edu","Many a poor person works hard, follows the rules, and makes good choices.","It is not helpful for Sanders to hate wealthy people who have worked hard, are smart, followed the rules, or made good life choices.",Con,,],]
1062,"Biased thinking, demonization, hatred and oversimplified stories lead to hatred and narratives that the ends justify the authoritarian means and start movements that go out of control.",People who refuse to listen to others are authoritarian in their own mind. They kill the parts of themselves that can build consensus with conflicting ideas and people.,"Sanders may have charitable views about the policies of some cruel authoritarians, such as Fidel Castro, But he is not himself an authoritarian and would not govern like one.nytimes.com|",Con,,],]
1063,"Not all Americans are in favor of ""progressive"" policies. Progressive activists only make up only about 8% of the population","Biden has not publicly supported most of the ""progressive"" policies that other nominees are currently promoting, which may help win him many votes in the general election.",The strong progressive populism wing of the Democratic party is the best way to Win.,Con,,],"'The study cited uses ""hierarchical clustering"" to identify groups, a machine learning technique with very subjective results \\(p. 28\\)"
1064,Calling Republicans racist all the time is not a winning strategy and makes them want to support Trump even more.,Extremist on one side justifies extremism on the other side in an endless tit-for-tat escalation and separation.,The strong progressive populism wing of the Democratic party is the best way to Win.,Con,,],]
1065,"George McGovern was from the strong progressive populism wing of the democratic party, and one exactly one state in the worst landslide of American history. It's OK to make mistakes, but it is not OK to keep making the same mistakes.",The strong progressive populism wing of the democratic party does not have a history of winning in America.,The strong progressive populism wing of the Democratic party is the best way to Win.,Con,,],]
1066,The other candidates are establishment hacks being used as puppets.,Bernie Sanders is the only candidate that is genuinely supported by THE PEOPLE.,The strong progressive populism wing of the Democratic party is the best way to Win.,Pro,,],"'Bernie Sanders has been in the federal government for over 20 years, making him an insider and part of the establishment.']"
1067,Biden was former Vice President to Barack Obama for two terms.,Biden provides a legacy of policy achievements that have appeal across the United States compared to a maverick and divisive candidate in Trump.,The strong progressive populism wing of the Democratic party is the best way to Win.,Con,,'In 2018 Obama was voted by Americans as the best President in their lifetime. This likely means the public also holds a favorable view of Biden.'],]
1068,"The RealClearPolitics average of polls in July 2019 shows that Biden is the public's preferred candidate to be the Democratic nominee, leading with 27%.",Joe Biden is extremely popular with the electorate. Therefore he is likely to be competitive in the general election.,The strong progressive populism wing of the Democratic party is the best way to Win.,Con,,],"'In December 2006, Obama was the favorite Democrat nominee of only 12% of the public. This demonstrates that the results of early polling are largely inconsequential.']"
1069,Campaign aides have a bad track record of knowing which opposing candidates will succeed. Hillary Clinton's team believed running against Trump would be a slam dunk.,Trump's aides are rumored to be nervous about Biden receiving the 2020 nomination.,The strong progressive populism wing of the Democratic party is the best way to Win.,Con,,],]
1070,"Humans have far more advanced sequential data we present in our study indicate that humans have evolved a superior capacity to deal with sequential information. We suggest that this can be an important piece of the puzzle to understand differences between humans and other animals,"" says Magnus Enquist, head of the Centre for the Study of Cultural Evolution at Stockholm University.\n\nThe new study collated data from 108 experiments on birds and mammals, showing that the surveyed species had great difficulties in distinguishing between certain sequences of stimuli.\n\n""In some experiments, animals had to remember the order in which a green and a red lamp were lit. Even this simple discrimination turned out to be very difficult, and the difficulties increase with longer sequences. In contrast, animals perform as well as humans in most cases in which they have to distinguish between single stimuli, rather than sequences,"" says Johan Lind, a co-author of the study and an Associate Professor at Stockholm University.) memory human brain consists of about one billion neurons. Each neuron forms about 1,000 connections to other neurons, amounting to more than a trillion connections. If each neuron could only help store a single memory, running out of space would be a problem. You might have only a few gigabytes of storage space, similar to the space in an iPod or a USB flash drive. Yet neurons combine so that each one helps with many memories at a time, exponentially increasing the brain’s memory storage capacity to something closer to around 2.5 petabytes \(or a million gigabytes\). For comparison, if your brain worked like a digital video recorder in a television, 2.5 petabytes would be enough to hold three million hours of TV shows. You would have to leave the TV running continuously for more than 300 years to use up all that storage.) than other animals; this means that they can remember the cause and effect of their actions, and the outcomes of them more easily.","If animals Berkoff, who presented his case in new book, Wild Justice, said: ‘There are cases of dolphins helping humans to escape from sharks, and elephants that have helped antelope escape from enclosures.’\n\nExperiments with rats have shown that they will not take food if they know their actions will cause pain to another rat.\n\nSimilarly, mice react more strongly to pain when they have seen another mouse in pain.\n\n‘The belief that humans have morality and animals don’t is a long-standing assumption, but there is a growing amount of evidence that is showing us that this simply cannot be the case,’ Prof Bekoff told the Sunday Telegraph.) can discern evil, human beings, who have much more advanced cognitive functions, have no excuse for allowing such acts to occur.","It cannot be argued that humans are evil when human limitations preclude their ability to discern and avoid ""evil.""",Con,,],]
1071,"Free will is the most likely explanation problem then is, how did all those words get there? Was there a demiurge who coded all that stuff into the detailed initial state of the Universe? It’s certainly not there in the Schrödinger equation per se, or in a randomly determined set of fluctuations in the early Universe as is normally envisaged in cosmological studies. By definition, they don’t encode either any detailed information or any logical argumentation.\n...\nGenuine mental functioning and the ability to make decisions in a rational way is a far more persuasive explanation of how books get written. That this is possible is due to the extraordinary hierarchical structure of our brain and its functioning. And that functioning is enabled by downward causation from the psychological to the physical levels, with outcomes at the physics level determined by constraints that change over time. No violation of physical laws need occur.) of the universe; other theories struggle to account for the nuance of the world as we know it.","Humans do not have free will and, as such, cannot be considered to be evil.","It cannot be argued that humans are evil when human limitations preclude their ability to discern and avoid ""evil.""",Pro,,"'Alternative competing theories such as chaos theory a different note, Alexander and some other commentators point out that quantum mechanics demonstrates that the world is not straightforwardly deterministic. In this, they are right: quantum indeterminacy implies that physical reality has an irreducibly probabilistic nature. Other readers have pointed out that even classical physics does not always allow us to accurately predict what will happen: According to chaos theory, any of an incalculably huge number of tiny differences in initial conditions can lead to radically different outcomes. \\(At least, that’s the excuse weather forecasters use for getting it wrong.\\) This too is a fair point.) undermine the probabilistic nature of quantum physics, as even small errors drastically change the system they are in.', 'Some people believe that particles Conway, Life’s creator, also defended free will. In a 2009 paper, “The Strong Free Will Theorem,” Conway and Simon Kochen argue that quantum mechanics, plus relativity, provide grounds for belief in free will. At the heart of their argument is a thought experiment in which physicists measure the spin of particles. According to Conway and Kochen, the physicists are free to measure the particles in dozens of ways, which are not dictated by the preceding state of the universe. Similarly, the particles’ spin, as measured by the physicists, is not predetermined.) have free will, much in the same way that people do. This means that free will is inherent, and may scale.']","'Some believe that as quantum mechanics is probabilistic, that so too are our brains view of the nervous system as a linear, computer-like machine performing classical, deterministic input-output or stimulus-response computations is still very popular in neuroscience.). This indicates that free will may not be the most likely explanation of the universe.']"
1072,People may commit inconsiderate acts with good intent due to a deficit in their Theory of Mind,An individual's morality is limited by their knowledge of reality No one is evil if they lack knowledge that their actions are actually evil.,"It cannot be argued that humans are evil when human limitations preclude their ability to discern and avoid ""evil.""",Pro,,],"'Intent and motive are always considered when drawing conclusions about the evilness of an act, which is why premeditated murder receives harsher sentences murder penalties include up to 25 years to life in prison. . . . Involuntary manslaughter is when a person is killed by actions that involve a wanton disregard for life by another. Involuntary manslaughter is committed without premeditation and without the true intent to kill, but the death of another person still occurs as a result. Penalties for involuntary manslaughter include up to four years in prison.) than involuntary manslaughter.']"
1073,The Flying Spaghetti Monster is a god,Pastafarians pray to a god and are therefore a religion.,Pastafarianism is a religion.,Pro,,"'The Flying Spaghetti Monster is the creator of the universe.', 'The Flying Spaghetti monster holds our universe together with his noodly appendages.']",]
1074,There are potentially thousands of followers,Pastafarians classify themselves as religious. Therefore it is a religion.,Pastafarianism is a religion.,Pro,,],"'The number of adherents is irrelevant. Some sports teams have millions of followers, yet they are not classified as a religion.']"
1075,The fact Pastafarians have fought for their religion to be recognized as any other religion is recognized should be the biggest telling point of their faith. They should get the recognition they deserve.,"While non-practicing ""Pastafarians"" publicly deride the religion as a joke, or sarcasm, that does not invalidate the religion for all Pastafarians.",Pastafarianism is a religion.,Pro,,],]
1076,One could say rejection of dogma is a norm for conduct. Eg.: Pastafarians shall not be dogmatic and shall demand evidence. Pastafarians follow this tenet \(or some variation thereof\).,"Religion is a social construct establishing norm for conduct. Pastafarianism has only one rule dictated by their tenet, which is the rejection of dogma. Thus, it denies itself, since the only proposition offered is a negative, a contrast.",Pastafarianism is a religion.,Con,,],'Pastafarian demanding evidence of dogma is dogma.']
1077,Bobby Henderson is not a prophet.,"Pastafarianism was created by a Prophet, Bobby Henderson and, therefore is a religion.",Pastafarianism is a religion.,Pro,,"'A prophet is ""A person regarded as an inspired teacher or proclaimer of the will of God,"" or, in this case, the Flying Spaghetti Monster. But Pastafarians do not believe that this so-called god even exists.']",]
1078,Pastafarianism is as similar as the Jediism a made up religion only.,"There is no 'evidence' of a flying spaghetti monster. The day that someone brings proof to the table, this belief will gain rights.",Pastafarianism is a religion.,Con,,],]
1079,"If The Flying Spaghetti Monster doesn't exist, God would not have inspired the creation of the colander.","I have seen spaghetti and meatballs, therefore there is more proof of the FSM than other gods.","There is no 'evidence' of a flying spaghetti monster. The day that someone brings proof to the table, this belief will gain rights.",Con,,],]
1080,"The freedom to practice one's religion and to freely express oneself are qualified by the harm principle; Pastafarianism parodies real religions, and is therefore harmful.","Freedom of religion is an inalienable human right, along with freedom of speech.","There is no 'evidence' of a flying spaghetti monster. The day that someone brings proof to the table, this belief will gain rights.",Con,,],]
1081,"This is only true for belief systems that make supernatural claims \(e.g. religions that talk about gods\); denying rights to those belief systems isn't inconsistent, it just leads to state atheism rather than religious freedom.",There is no proof for any belief system.,"There is no 'evidence' of a flying spaghetti monster. The day that someone brings proof to the table, this belief will gain rights.",Con,,],]
1082,"In states where the doctrine of parliamentary sovereignty is enshrined, parliament has a right to legislate and enact any counterterrorism measures it wishes, even if it ends up infringing individual human rights.",States have been granted the authority to infringe individual human rights in the interest of ensuring public security and safety.,Infringing the human rights of some individuals to prevent harm to the general public is morally justified.,Pro,,"""If citizens trust the parliament so much that they would give them sovereign power over the laws of a country then, if parliament thinks its in the best interest of the people, it should be able to infringe on people's rights."", 'Parliamentary sovereignty is the most important part of the UK constitution","""A Parliament's right to legislate is not absolute. In a number of cases, it is restricted by the system of checks and balances to ensure that it does not legislate in an unjust and unequitable manner."", 'While in theory Parliament can legislate whatever it pleases, in practice it is democratically elected and therefore subject to significant political constraints.']"
1083,59% of people refuse to compromise on the protection of human rights when presented with the ticking time bomb scenario.,"The ""ticking time bomb thought experiment indicates that people intuitively think it is morally justified to torture a few to save the many where it is necessary to do so.",Infringing the human rights of some individuals to prevent harm to the general public is morally justified.,Pro,,],]
1084,La reconnaissance de la valeur logique de l'opinion d'individus ou de petits groupes nécessiterait que ces personnes soient informées des tenants et des arguments du débat moral impliqué. On peut raisonnablement proposer que ces groupes ne sont pas correctement informés.,"Bien que des individus isolés où des petits groupes sociaux puissent différer sur la question de sa moralité, il n'existe pas d'État démocratique qui exerce sa justice sans usage de la prison.",Il est criminel de séquestrer des personnes. Le système carcéral est une privation de liberté moralement acceptée.,Pro,,],]
1085,Enfermer les fous ou les femmes met en jeu des questions morales supplémentaires: les femmes devraient-elles avoir les mêmes droits que les hommes? \(OUI\) Les fous sont-ils mieux à l'extérieur des hopitaux/asiles? \(pas toujours...\),"Dire que la prison est ""moralement"" acceptable, c'est comme dire qu'enfermer les fous en asile est ""moralement"" acceptable, enfermer les femmes chez elles est ""moralement"" acceptable pour certaines religions, ou qu'enfermer les migrants est ""moralement"" acceptable. C'est une tolérance ou une facilité pour l’État faute de mieux, mais on ne peut pas dire que c'est universellement considéré comme ""moral"", chacun a son avis concernant la morale, ce n'est donc pas un argument, mais un avis personnel.",Il est criminel de séquestrer des personnes. Le système carcéral est une privation de liberté moralement acceptée.,Con,,],]
1086,"If homosexuality was a harmful trait, natural selection would have selected it out.","The theory of evolution proves homosexuality is not harmful, and thus should be legal.",Homosexuality should be legal in all countries.,Pro,,"""The biological imperative philosophy prioritizes the species' continuation as a whole, not individuals. Therefore individual organisms \\(including homosexuals\\) who contribute to survival territorialism competition reproduction quality of life-seeking and group forming are fulfilling biology's end game goal of a species' total adaptability against adversity.""]","'There is similarly no known use for the appendix, yet natural selection has not obliterated it from the human body.', 'Evolution is an ongoing process. Homosexuality may very well be selected out in the future.']"
1087,Deprivation of liberty based on sexual orientation can amount to an arbitrary detention \(p.85,The persecution and suppression of people based on their sexual preferences violates fundamental human rights that are guaranteed under international law.,Homosexuality should be legal in all countries.,Pro,,'The right to personal liberty and the right not to be arbitrarily deprived of liberty are universally recognized and protected by international human right laws; LGBT persons have the same rights \\(p.84,]
1088,A ban of homosexuals would harm the economic system.,"A ban on homosexuality criminalizes a significant proportion of the population, which negatively affects the individuals and society as a whole.",Homosexuality should be legal in all countries.,Pro,,"""A ban on homosexuality is a huge waste of taxpayers' money: Homosexuals will have to be monitored, persecuted, sentenced, and incarcerated. All of this costs resources and manpower."", 'Detention of homosexuals will lead to lower tax revenues by decreasing the number of productive and economically active individuals.']","""When the state has to bear the medical costs of an individual's choice or decision, it can prohibit certain acts for the well being of the society.""]"
1089,Western countries strife for religion and government to be separated Most constitutions reflect that.,Homosexuality goes against the major branches of the world's dominant religions,Homosexuality should be legal in all countries.,Con,,"'Even though the phrase ""separation of church and state"" itself is not explicit in the US Constitution, the First Amendment reflects that the Congress can not make any laws against the establishment of religion, or prohibit the free exercise of the same.', 'The Constitution of Australia prevents the Commonwealth from establishing any religion or requiring a religious test for any office by highlighting that ""the Commonwealth shall not make any law for establishing any religion, or for imposing any religious observance, or for prohibiting the free exercise of any religion, and no religious test shall be required as a qualification for any office or public trust under the Commonwealth.""']",]
1090,"Due to social prejudices and stigmas, homosexual individuals are unable to fully enjoy their lives as members of a society.",Legal homosexuality will help reduce the social stigma and prejudices faced by LGBT people.,Homosexuality should be legal in all countries.,Pro,,"'In the UAE there are no official gay clubs where homosexuals can enjoy and be themselves. Those who go to unofficial gay clubs are fearful of the risks to their life in case they are caught.', 'LGBT people face discrimination in health care.']",]
1091,A homosexual couple cannot birth children.,Homosexuality goes against the biological imperative to procreate.,Homosexuality should be legal in all countries.,Con,,],"'A homosexual couple can adopt a child or have a child through surrogacy It is unclear why being able to have biological children is necessary to be given fundamental human rights.', 'Many heterosexual couples cannot have biological children since they may be infertile 'Many heterosexual couples choose not to have children.', 'There is no inherent moral value in procreation, otherwise use of a condom should be equally banned.', 'A lesbian couple could indeed birth children via in vitro fertilization, similar to what could be done for a heterosexual couple if the male is infertile.', 'The fact that homosexual couples cannot birth children in a simple way is not clearly linked to why homosexuality should be illegal.']"
1092,Practitioners and supporters of other unconventional sexual practices have come forward demanding the legalization of said practices,Legalization of homosexuality would set a precedent for the legalization of unconventional forms of sexuality.,Homosexuality should be legal in all countries.,Con,,],"""Homosexual relationships are based on consent which is commonly used as a qualifier in law. However, partaking in pedophilia, zoophilia, and necrophilia, among others, inherently violates consent, and therefore they don't receive the protection of legislative and judicial systems. rainn.org 'If one insists that at its core, marriage is a permanent, exclusive romantic relationship, one could consistently reject polygamy without rejecting homosexuality.']"
1093,The law does not necessarily determine what is morally right or not; it determines what ought and must not be done in order to keep society running.,"Homosexuality is not a choice, therefore it cannot be judged in the area of morality.",Homosexuality should be legal in all countries.,Pro,,],]
1094,"Schools can teach students about illegal things \(without approving of them of course\) and in fact regularly do this. Thus, the first sentence of the parent is incorrect.","Legalizing homosexuality will allow schools to educate students about it. Thus, creating an environment of openness resulting in treating all men and women as equals.",Homosexuality should be legal in all countries.,Pro,,"'Schools frequently warn students about the risks of illegal drugs.', 'Schools frequently warn students about the risks of drunk driving.']",]
1095,Homosexuality does not limit anyone's freedoms or rights.,Homosexual acts do not have any negative effects.,Homosexuality should be legal in all countries.,Pro,,],"'The struggle for homosexual rights has been used to pink-wash other hidden agendas, including justifying military interventions and civilizing missions, mostly targeting the non-West and limiting their freedoms.']"
1096,"With homosexuality being legally and socially accepted, more individuals may come out and raise their kids according to their way. This will lead to a decline in heterosexuals and thus to a decline in traditional family households.",The traditional family model might suffer from negative consequences.,Homosexuality endangers moral and traditional values.,Pro,,'A study found that intergenerational transfer of sexual orientation can occur at statistically significant and substantial rates.'],"'There is not an inherent benefit to traditional family households. It is not a good or a bad thing if there seems to be a decline in heterosexuals.', ""The language used to present this extrapolated claim has been stated with certainty but seems speculative. Statistically 94.6% of people identified as heterosexual in the last UK Office for National Statistics survey a relatively LGBT friendly country. There has been a decrease since 2014, but it's still a very large majority so even if this is a cause for anxiety, it seems misplaced.""]"
1097,A meta-analysis found that LGBT+ adolescents were 90 percent more likely to use substances than heterosexual adolescents.,Homosexuals are more prone to immoral conduct.,Homosexuality endangers moral and traditional values.,Pro,,],"""Since homosexuals are a sexual minority and face stigma, that can be linked to mental health issues which lead to 'immoral conduct' as a coping mechanism. Therefore, homosexuality does not cause this behavior, society's response to it does.""]"
1098,"In the US, a significant proportion of sexual and gender minorities identify as ideologically conservative and/or support the Republican Party.",There are many conservatives among the LGBT communities.,Homosexuality endangers moral and traditional values.,Con,,],]
1099,Since the 1960s adherence to traditional religious values has fallen sharply across Europe and North America.,Collective and individual values generally develop dynamically and are subject to constant change.,Homosexuality endangers moral and traditional values.,Con,,"'This lead to a rise of new set of norms based on individual freedom and self-expression, including acceptance of abortion and divorce, tolerance of homosexuality, and more progressive attitudes to women’s rights.']",]
1100,"Even though a significant proportion of groups in India are against homosexuality being legal, this trend is now changing in light of the growing awareness and discourse surrounding homosexuality rights.","In India according to the International Lesbian, Gay, Bisexual, Trans and Intersex Association, 35% of the population is against homosexuality being legal.","In many countries, people do not support homosexuality.",Pro,,'Multinational Companies in India are openly allying with the LGBT+ cause to promote social acceptance of the homosexual identity.'],]
1101,"This same source says: On the other hand, many Russians \(45%\) were in favour of the equality of homosexuals with other citizens \(41% against, 15% undecided\). Most supported the introduction in Russia of laws forbidding discrimination on the grounds of sexual orientation and incitement of hatred for gays and lesbians \(31% against, 28% undecided\). en.wikipedia.org","In Russia, ca. 75% of surveyed people can identify with ""Homosexuality should not be accepted by society","In many countries, people do not support homosexuality.",Pro,,],]
1102,"Neither US political party agreed to support a federal amendment granting women the vote in 1916 due to lobbyists who thought that women would ban alcohol or that women would never vote for war. Despite this opposition, women were granted the right to vote in 1920. pewsocialtrends.org ap.gilderlehrman.org",The principle of Argumentum ad populum establishes that something is neither true nor good solely because it is popular.,"In many countries, people do not support homosexuality.",Con,,],]
1103,"Three in four Americans do not support a total ban on smoking in public, which has been concluded as an immoral decision due to its health and environmental hazards.",Public opinion can be in favor of immoral decisions.,"In many countries, people do not support homosexuality.",Con,,],]
1104,Republicans and Republican supporters still oppose same-sex marriage in the United States.,"Based on polling in 2019, a majority of Americans \(61% support same-sex marriage.","In many countries, people do not support homosexuality.",Con,,],"'According to the chart, even Republicans are becoming more accepting of same sex marriage, and it appears that soon a majority of them will favor it. Should homosexuality be illegal even after this happens?']"
1105,"Many societies where previously homosexuality was considered taboo, are increasingly changing their attitudes towards being more accepting of these individuals.","Culture plays a huge role in attitudes to homosexuality, and both elements can be \(and do\) change over time.","In many countries, people do not support homosexuality.",Con,,"'India a strictly conservative society that was against homosexuality in the past, recently decriminalized it in 2018.']",]
1106,Other combinations of physical laws and constants may support other forms of \(probably non-carbon-based\) life.,The universe and the constants discovered appear finely tuned only from the perspective of life on Earth.,Many physical constants appear finely tuned to permit life.,Con,,],"'Many combinations of constants prohibit any form of complexity from existing at all, not just carbon-based life.', 'The fact that our universe has a set of constants that permit carbon-based life, given how difficult to support carbon-based life is, still requires explanation.']"
